A,BundeslandId,Altersgruppe,AnzFallM,AnzFallW,AnzTodesfallM,AnzTodesfallW,AnzFall100kM,AnzFall100kW,AnzTodesfall100kM,AnzTodesfall100kW,ObjectId
7313,7,A00-A04,53,54,0,0,4732.1,5263.2,0,0,953
6438,6,A80+,637,1178,200,202,6534.7,8090.7,2051.7,1387.4,954
7211,7,A05-A14,243,176,0,0,5235.9,4285.4,0,0,955
7313,7,A05-A14,153,161,0,0,7898.8,8500.5,0,0,956
6439,6,A00-A04,145,142,0,0,3427.9,3563.4,0,0,957
7211,7,A15-A34,792,714,0,0,4451.2,4175,0,0,958
7313,7,A15-A34,460,449,1,0,7263.5,6280.6,15.8,0,959
6439,6,A05-A14,527,479,0,0,6048.4,5833.6,0,0,960
7211,7,A35-A59,664,639,2,0,3648,3665.3,11,0,961
7313,7,A35-A59,476,478,2,1,6426.4,6369.9,27,13.3,962
6439,6,A15-A34,1356,1260,0,0,6832.3,6998.1,0,0,963
7211,7,A60-A79,181,198,8,6,1970.8,1864.1,87.1,56.5,964
7313,7,A60-A79,183,181,7,5,4225.4,3660.3,161.6,101.1,965
6439,6,A35-A59,1713,1847,7,3,5214.8,5445.8,21.3,8.8,966
7211,7,A80+,46,103,11,11,1930.3,2305.3,461.6,246.2,967
7313,7,A80+,59,94,12,17,5378.3,4840.4,1093.9,875.4,968
6439,6,A60-A79,728,648,36,17,3497.6,2814.1,173,73.8,969
6439,6,A80+,250,505,57,75,4433.4,6160.8,1010.8,915,970
6440,6,A00-A04,197,205,0,0,2621.8,2842.1,0,0,971
6440,6,A05-A14,988,799,0,0,6597.2,5638.3,0,0,972
6440,6,A15-A34,2634,2592,1,0,7500.4,8196.3,2.8,0,973
6440,6,A35-A59,3342,3626,13,5,6038.8,6464,23.5,8.9,974
6440,6,A60-A79,1264,1277,99,51,3890.3,3670.4,304.7,146.6,975
6440,6,A80+,519,1078,170,219,6358,8386.5,2082.6,1703.7,976
6531,6,A00-A04,246,217,0,0,3638,3452.1,0,0,977
6531,6,A05-A14,802,777,0,0,6831.3,6847.6,0,0,978
6531,6,A15-A34,3210,3119,1,0,8163.2,8233.7,2.5,0,979
6531,6,A35-A59,2967,3067,13,9,6831.2,7078.2,29.9,20.8,980
6531,6,A60-A79,1080,1054,64,31,4132.4,3688.3,244.9,108.5,981
6531,6,A80+,328,721,104,153,4919.8,7078.3,1559.9,1502.1,982
6532,6,A00-A04,204,214,0,0,3369.7,3689,0,0,983
6532,6,A05-A14,960,847,0,0,8016,7615.5,0,0,984
6532,6,A15-A34,2407,2397,2,0,8342.3,9106.8,6.9,0,985
6532,6,A35-A59,2872,2986,9,2,6599,6816.3,20.7,4.6,986
6532,6,A60-A79,1005,973,52,28,3655.6,3257.3,189.1,93.7,987
6532,6,A80+,290,625,61,83,4115.2,5431.5,865.6,721.3,988
6533,6,A00-A04,251,221,0,0,6290.7,5753.7,0,0,989
6533,6,A05-A14,717,651,0,0,8991.7,8571.4,0,0,990
6533,6,A15-A34,1739,1718,0,2,8737.8,9594.5,0,11.2,991
6533,6,A35-A59,1992,2074,8,8,6620.1,6896.3,26.6,26.6,992
6533,6,A60-A79,779,776,49,41,4129.3,3865.3,259.7,204.2,993
6533,6,A80+,283,566,81,102,6005.9,7789.7,1719,1403.8,994
6411,6,A15-A34,1690,1480,0,0,5916.3,6505.2,0,0,995
6636,6,A15-A34,623,626,1,0,5713.5,6590.9,9.2,0,996
7231,7,A00-A04,90,89,0,0,3329.6,3487.5,0,0,997
7314,7,A00-A04,230,235,0,0,4643.7,4984.1,0,0,998
7231,7,A05-A14,278,278,0,0,5442.4,5745,0,0,999
7314,7,A05-A14,951,860,0,0,10558.5,10227.1,0,0,1000
7231,7,A15-A34,691,643,0,0,5658.8,5854.5,0,0,1001
7314,7,A15-A34,2336,2386,0,1,10166.2,11545,0,4.8,1002
7314,7,A35-A59,2515,2502,10,5,8260.3,8807.7,32.8,17.6,1003
7231,7,A35-A59,815,785,2,0,4095.5,4099.9,10.1,0,1004
7314,7,A60-A79,796,814,63,43,5295,4797.8,419.1,253.4,1005
7314,7,A80+,310,652,94,129,7290.7,9698.1,2210.7,1918.8,1006
7231,7,A60-A79,286,269,9,4,2189.6,1997.9,68.9,29.7,1007
7315,7,A00-A04,243,249,0,0,4697.5,5017.1,0,0,1008
7231,7,A80+,101,163,25,28,2937.8,3088.3,727.2,530.5,1009
7315,7,A05-A14,756,681,0,0,8281.3,8274.6,0,0,1010
7232,7,A00-A04,68,86,0,0,2665.6,3648.7,0,0,1011
7315,7,A15-A34,2619,2496,2,0,7739.4,7074,5.9,0,1012
7232,7,A05-A14,262,234,0,0,5441.3,5434.3,0,0,1013
7315,7,A35-A59,2220,2227,10,7,6287,6412.7,28.3,20.2,1014
7232,7,A15-A34,801,690,1,0,6876.1,6570.8,8.6,0,1015
7315,7,A60-A79,692,674,43,14,3975,3319.5,247,69,1016
7232,7,A35-A59,826,866,2,4,4623.3,5026.7,11.2,23.2,1017
7315,7,A80+,229,453,54,93,4604.9,5823.4,1085.9,1195.5,1018
7232,7,A60-A79,260,253,8,3,2370.3,2299.8,72.9,27.3,1019
7316,7,A00-A04,55,31,0,0,4250.4,2464.2,0,0,1020
6636,6,A35-A59,835,893,2,2,5006,5363,12,12,1021
7232,7,A80+,66,108,5,11,2505.7,2585,189.8,263.3,1022
7316,7,A05-A14,189,170,0,0,8174.7,7592.7,0,0,1023
7337,7,A60-A79,451,462,23,9,3410.2,3293.6,173.9,64.2,1024
6411,6,A35-A59,1460,1521,5,1,5825.3,6239.2,19.9,4.1,1025
6636,6,A60-A79,414,427,23,19,3343,3237.5,185.7,144.1,1026
7233,7,A00-A04,41,40,0,0,3287.9,3319.5,0,0,1027
7316,7,A15-A34,452,433,0,0,7771.7,8079.9,0,0,1028
7337,7,A80+,137,309,30,60,4223.2,6329.4,924.8,1229,1029
6411,6,A60-A79,475,495,39,15,3689.9,3341,303,101.2,1030
6636,6,A80+,176,353,39,83,5312.4,6752.1,1177.2,1587.6,1031
7233,7,A05-A14,155,138,0,0,5966.1,5660.4,0,0,1032
7316,7,A35-A59,468,517,1,0,5364.5,5847.8,11.5,0,1033
7338,7,A00-A04,181,144,0,0,4411.4,3842,0,0,1034
6411,6,A80+,156,310,38,66,4519.1,5568.5,1100.8,1185.6,1035
7111,7,A00-A04,90,79,0,0,3394.9,3170.1,0,0,1036
7233,7,A15-A34,368,389,0,0,5599.5,6750,0,0,1037
7316,7,A60-A79,197,214,13,4,3246.5,3168.5,214.2,59.2,1038
7338,7,A05-A14,583,537,0,0,7870.9,7773.6,0,0,1039
6412,6,A00-A04,700,652,0,0,3328.4,3238.6,0,0,1040
7111,7,A05-A14,290,263,0,0,6239.2,5927.4,0,0,1041
7233,7,A35-A59,477,526,1,0,4674.2,5142.2,9.8,0,1042
7316,7,A80+,58,103,9,18,3258.4,3600.1,505.6,629.2,1043
7338,7,A15-A34,1326,1326,1,1,8402,9022.9,6.3,6.8,1044
6412,6,A05-A14,3105,2907,0,0,8769.9,8504.5,0,0,1045
7111,7,A15-A34,1095,922,1,1,6647.2,5987.8,6.1,6.5,1046
7233,7,A60-A79,237,194,16,6,3100.9,2523.4,209.3,78,1047
7317,7,A00-A04,33,29,0,0,3716.2,3321.9,0,0,1048
7338,7,A35-A59,1725,1916,11,0,6370,6951.1,40.6,0,1049
6412,6,A15-A34,10122,9909,2,2,9599.1,9234.7,1.9,1.9,1050
7111,7,A35-A59,915,987,2,3,5132.4,5643.5,11.2,17.2,1051
7111,7,A60-A79,374,377,29,19,3493,3023.7,270.9,152.4,1052
7111,7,A80+,159,382,44,64,4922.6,6861.9,1362.2,1149.6,1053
7131,7,A00-A04,183,154,0,0,5907,5375.2,0,0,1054
7131,7,A05-A14,440,399,0,0,7793.1,7494.4,0,0,1055
7131,7,A15-A34,1021,963,0,0,7271.6,7600.6,0,0,1056
7131,7,A35-A59,1123,1157,6,0,5152.6,5208.9,27.5,0,1057
7131,7,A60-A79,452,396,12,4,2945.4,2415.4,78.2,24.4,1058
7131,7,A80+,139,241,23,24,3146.2,3613.7,520.6,359.9,1059
7132,7,A00-A04,128,143,0,0,4090.8,4761.9,0,0,1060
7132,7,A05-A14,421,468,0,0,6970.2,8194.7,0,0,1061
7132,7,A15-A34,1087,989,0,0,7480.6,7534.7,0,0,1062
7132,7,A35-A59,1174,1220,3,2,5300.9,5541.9,13.5,9.1,1063
7132,7,A60-A79,462,435,13,16,3185.3,2823.8,89.6,103.9,1064
