age_ratio,icu_ratio,facecolor,facecolor_id,admin_unit
59,20,#e8e8e8,1,9775
83,23,#a5add3,5,9776
93,21,#5ac8c8,3,9777
75,21,#e8e8e8,1,9778
88,20,#ace4e4,2,9779
100,23,#5698b9,6,9780
89,23,#a5add3,5,10041
83,23,#a5add3,5,10042
75,25,#be64ac,7,10043
67,24,#be64ac,7,10044
82,25,#8c62aa,8,10045
100,25,#3b4994,9,10046
89,19,#ace4e4,2,11000
78,28,#be64ac,7,12051
88,26,#8c62aa,8,12052
93,26,#3b4994,9,12053
80,20,#e8e8e8,1,12054
92,24,#3b4994,9,12060
78,24,#be64ac,7,12061
78,29,#be64ac,7,12062
83,23,#a5add3,5,12063
85,24,#8c62aa,8,12064
71,23,#dfb0d6,4,12065
94,29,#3b4994,9,12066
77,27,#be64ac,7,12067
83,26,#8c62aa,8,12068
87,23,#a5add3,5,12069
64,29,#be64ac,7,12070
90,28,#3b4994,9,12071
64,23,#dfb0d6,4,12072
81,28,#8c62aa,8,12073
83,24,#8c62aa,8,13003
82,26,#8c62aa,8,13004
79,26,#be64ac,7,13071
68,24,#be64ac,7,13072
82,27,#8c62aa,8,13073
53,24,#be64ac,7,13074
84,26,#8c62aa,8,13075
83,24,#8c62aa,8,13076
89,28,#8c62aa,8,14511
83,30,#8c62aa,8,14521
84,29,#8c62aa,8,14522
80,30,#be64ac,7,14523
89,30,#8c62aa,8,14524
87,22,#a5add3,5,14612
84,28,#8c62aa,8,14625
84,30,#8c62aa,8,14626
86,28,#8c62aa,8,14627
94,28,#3b4994,9,14628
86,20,#ace4e4,2,14713
71,27,#be64ac,7,14729
80,26,#be64ac,7,14730
68,32,#be64ac,7,15001
87,24,#8c62aa,8,15002
95,25,#3b4994,9,15003
73,25,#be64ac,7,15081
73,28,#be64ac,7,15082
93,24,#3b4994,9,15083
79,28,#be64ac,7,15084
89,29,#8c62aa,8,15085
85,26,#8c62aa,8,15086
81,30,#8c62aa,8,15087
86,26,#8c62aa,8,15088
97,28,#3b4994,9,15089
73,26,#be64ac,7,15090
73,29,#be64ac,7,15091
81,23,#a5add3,5,16051
95,30,#3b4994,9,16052
96,21,#5ac8c8,3,16053
