bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand,betten_belegt_nur_erwachsen,betten_frei_nur_erwachsen,verh_frei_belegt,Anteil ueber 65-Jaehrigen
5,5570,6,5,5,5,5,43,19.12.21 12:15,42,2,"14,6666666666667",21
5,5711,6,20,9,4,15,130,19.12.21 12:15,111,6,39,20
5,5754,4,15,10,4,1,47,19.12.21 12:15,47,1,16,20
5,5758,5,11,6,3,12,46,19.12.21 12:15,41,7,16,22
5,5762,6,3,2,5,11,24,19.12.21 12:15,22,9,"10,3333333333333",23
5,5766,2,29,15,2,2,48,19.12.21 12:15,48,2,"16,6666666666667",23
5,5770,9,14,9,6,32,161,19.12.21 12:15,143,25,56,22
5,5774,7,16,15,5,16,67,19.12.21 12:15,57,11,"22,6666666666667",18
5,5911,8,18,6,6,19,170,19.12.21 12:15,152,16,56,22
5,5913,9,15,7,9,35,239,19.12.21 12:15,239,35,"91,3333333333333",21
5,5914,7,5,3,5,8,73,19.12.21 12:15,69,3,24,22
5,5915,7,7,6,5,27,66,19.12.21 12:15,54,17,"23,6666666666667",21
5,5916,4,6,4,4,8,56,19.12.21 12:15,56,8,"21,3333333333333",22
5,5954,8,6,2,6,16,106,19.12.21 12:15,71,10,27,24
5,5958,10,12,10,9,25,65,19.12.21 12:15,61,25,"28,6666666666667",22
5,5962,10,22,7,8,14,85,19.12.21 12:15,81,10,"30,3333333333333",22
5,5966,3,4,2,3,14,14,19.12.21 12:15,14,14,"9,33333333333333",21
5,5970,5,7,5,5,19,87,19.12.21 12:15,87,19,"35,3333333333333",22
5,5974,9,12,7,7,16,72,19.12.21 12:15,63,11,"24,6666666666667",22
5,5978,8,12,5,8,11,89,19.12.21 12:15,89,11,"33,3333333333333",23
6,6411,7,13,11,4,17,85,19.12.21 12:15,48,5,"17,6666666666667",17
6,6412,17,55,20,12,31,259,19.12.21 12:15,235,27,"87,3333333333333",16
6,6413,4,16,12,2,16,91,19.12.21 12:15,80,14,"31,3333333333333",16
6,6414,6,19,12,4,13,85,19.12.21 12:15,75,13,"29,3333333333333",20
6,6431,5,4,2,5,9,29,19.12.21 12:15,29,9,"12,6666666666667",22
6,6432,2,14,11,2,2,24,19.12.21 12:15,24,2,"8,66666666666667",21
6,6433,2,7,1,2,6,19,19.12.21 12:15,19,6,"8,33333333333333",19
6,6434,2,7,5,2,1,22,19.12.21 12:15,22,1,"7,66666666666667",23
6,6435,7,16,6,4,7,74,19.12.21 12:15,66,2,"22,6666666666667",22
6,6436,2,7,4,2,1,24,19.12.21 12:15,24,1,"8,33333333333333",21
6,6437,2,10,3,2,2,124,19.12.21 12:15,124,2,42,24
6,6438,2,11,7,2,6,16,19.12.21 12:15,16,6,"7,33333333333333",21
6,6439,2,3,1,2,3,11,19.12.21 12:15,11,3,"4,66666666666667",23
6,6440,5,12,8,5,3,61,19.12.21 12:15,61,3,"21,3333333333333",21
6,6531,6,23,20,4,19,187,19.12.21 12:15,169,16,"61,6666666666667",20
6,6532,2,4,2,2,1,46,19.12.21 12:15,46,1,"15,6666666666667",22
6,6533,3,4,3,3,12,38,19.12.21 12:15,38,12,"16,6666666666667",22
6,6534,3,8,4,3,18,115,19.12.21 12:15,115,18,"44,3333333333333",20
6,6535,4,2,2,4,3,21,19.12.21 12:15,21,3,8,25
6,6611,6,18,6,6,8,131,19.12.21 12:15,131,8,"46,3333333333333",20
6,6631,5,13,7,3,15,76,19.12.21 12:15,67,13,"26,6666666666667",21
6,6632,4,11,5,3,10,47,19.12.21 12:15,44,6,"16,6666666666667",24
6,6633,4,1,0,4,2,24,19.12.21 12:15,24,2,"8,66666666666667",25
6,6634,3,2,0,3,5,23,19.12.21 12:15,23,5,"9,33333333333333",24
6,6635,6,4,4,6,10,70,19.12.21 12:15,70,10,"26,6666666666667",23
6,6636,3,3,2,3,11,18,19.12.21 12:15,18,11,"9,66666666666667",26
7,7111,6,10,4,4,20,86,19.12.21 12:15,73,15,"29,3333333333333",22
7,7131,2,3,3,2,6,9,19.12.21 12:15,9,6,5,25
7,7132,2,5,5,2,4,13,19.12.21 12:15,13,4,"5,66666666666667",23
7,7133,6,3,3,4,9,37,19.12.21 12:15,28,4,"10,6666666666667",24
7,7134,2,3,1,2,2,16,19.12.21 12:15,16,2,6,24
7,7135,2,0,0,2,4,4,19.12.21 12:15,4,4,"2,66666666666667",25
7,7137,3,4,1,3,21,14,19.12.21 12:15,14,21,"11,6666666666667",22
7,7138,8,6,5,5,13,52,19.12.21 12:15,38,9,"15,6666666666667",22
7,7140,2,1,1,2,5,9,19.12.21 12:15,9,5,"4,66666666666667",23
7,7141,5,8,4,5,5,25,19.12.21 12:15,25,5,10,24
7,7143,4,2,1,4,6,24,19.12.21 12:15,24,6,10,21
7,7211,6,8,4,3,14,66,19.12.21 12:15,58,10,"22,6666666666667",18
7,7231,2,3,1,2,2,20,19.12.21 12:15,20,2,"7,33333333333333",23
7,7232,2,0,0,2,5,9,19.12.21 12:15,9,5,"4,66666666666667",21
7,7233,2,1,1,2,3,13,19.12.21 12:15,13,3,"5,33333333333333",25
7,7235,2,2,1,2,0,9,19.12.21 12:15,9,0,3,21
7,7311,1,3,0,1,1,10,19.12.21 12:15,10,1,"3,66666666666667",23
7,7312,3,9,5,1,3,103,19.12.21 12:15,90,3,31,20
